id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
174,340898740,2008,253000,Manuell,Diesel,Forhjulsdrift,126,1465,5,Stasjonsvogn,5,Personbil,1300,18845
175,340856953,2007,286600,Automat,Diesel,Forhjulsdrift,140,1674,5,Stasjonsvogn,5,Personbil,1800,19845
176,340896198,2004,158062,Manuell,Diesel,Forhjulsdrift,109,1317,5,Flerbruksbil,5,Personbil,1300,16845
177,340893802,2013,129000,Manuell,Bensin,Forhjulsdrift,101,1049,5,KombiFemdørs,5,Personbil,900,18172
178,340845252,2005,214650,Manuell,Bensin,Forhjulsdrift,80,1134,5,Stasjonsvogn,4,Personbil,900,18074
179,338070384,2005,238855,Manuell,Diesel,Forhjulsdrift,109,1337,5,Stasjonsvogn,5,Personbil,1300,19845
180,340883353,2004,137125,Automat,Bensin,Forhjulsdrift,65,915,5,KombiFemdørs,4,Personbil,650,19074
181,340819296,2007,413000,Manuell,Diesel,Forhjulsdrift,140,1585,5,Stasjonsvogn,5,Personbil,1800,20000
182,340813059,2014,147000,Manuell,Diesel,Forhjulsdrift,90,1365,2,Kasse,4,Varebil,1000,19476
183,340781497,2000,350000,Automat,Diesel,Bakhjulsdrift,143,1640,7,Stasjonsvogn,5,Personbil,2100,19845
184,340510645,2009,231000,Manuell,Diesel,Forhjulsdrift,110,1730,5,Stasjonsvogn,4,Personbil,1600,18845
185,340776952,2007,207400,Manuell,Diesel,Forhjulsdrift,109,1417,7,Flerbruksbil,5,Personbil,1300,18845
186,340727258,2007,186000,Manuell,Diesel,Forhjulsdrift,109,1642,5,Stasjonsvogn,4,Personbil,1300,15845
187,340727755,2007,420000,Automat,Diesel,Forhjulsdrift,163,1578,5,Stasjonsvogn,5,Personbil,1800,19845
188,340695667,2006,219000,Automat,Bensin,Firehjulsdrift,140,1480,5,SUV,5,Personbil,1300,16845
189,340645047,2005,88700,Manuell,Bensin,Forhjulsdrift,60,1011,5,KombiFemdørs,4,Personbil,700,18000
190,330444034,1998,222000,Manuell,Bensin,Forhjulsdrift,75,1074,5,KombiFemdørs,5,Personbil,940,19500
191,331321828,2005,131024,Manuell,Bensin,Forhjulsdrift,58,935,5,KombiFemdørs,5,Personbil,1100,19777
192,340589727,2006,185996,Manuell,Diesel,Forhjulsdrift,90,1235,5,Stasjonsvogn,5,Personbil,1000,19845
193,340549718,2005,119478,Manuell,Diesel,Forhjulsdrift,75,950,5,KombiFemdørs,4,Personbil,900,17074
194,340490619,2007,305000,Manuell,Diesel,Forhjulsdrift,90,1277,5,KombiFemdørs,5,Personbil,1200,19900
195,340476841,2005,282000,Manuell,Diesel,Forhjulsdrift,90,1432,5,KombiFemdørs,4,Personbil,1300,19845
196,340446601,2009,437919,Automat,Diesel,Forhjulsdrift,140,1597,5,Stasjonsvogn,4,Personbil,2000,17000
197,340380536,2005,321000,Automat,Diesel,Firehjulsdrift,165,2030,5,SUV,5,Personbil,3500,16845
198,340372970,2004,186142,Manuell,Bensin,Forhjulsdrift,75,1188,5,Stasjonsvogn,5,Personbil,900,17777
199,340370278,2002,296000,Automat,Diesel,Bakhjulsdrift,163,1605,5,Sedan,5,Personbil,2090,16845
200,340372336,2010,224300,Manuell,Bensin,Forhjulsdrift,120,1318,5,Flerbruksbil,5,Personbil,1050,19900
201,340336243,2005,137200,Manuell,Bensin,Forhjulsdrift,140,1315,5,Stasjonsvogn,5,Personbil,1300,19995
202,340321594,2002,400000,Manuell,Diesel,Bakhjulsdrift,193,1735,5,Stasjonsvogn,5,Personbil,2000,16845
203,340290640,2006,186000,Manuell,Diesel,Forhjulsdrift,140,1668,7,KombiFemdørs,5,Personbil,1750,19845
204,340119615,2004,166357,Manuell,Bensin,Forhjulsdrift,116,1220,5,KombiFemdørs,5,Personbil,1200,16845
205,340194352,1998,460500,Manuell,Diesel,Forhjulsdrift,140,1475,5,Stasjonsvogn,5,Personbil,1600,16845
206,340149792,2006,180708,Manuell,Bensin,Forhjulsdrift,69,980,5,KombiFemdørs,5,Personbil,750,17074
207,339995699,2003,67431,Automat,Bensin,Forhjulsdrift,110,1175,5,Sedan,4,Personbil,1300,15074
208,340069322,2008,187680,Manuell,Diesel,Forhjulsdrift,140,1470,5,Stasjonsvogn,5,Personbil,1600,19900
209,339987844,2008,209000,Manuell,Bensin,Forhjulsdrift,80,1228,5,KombiFemdørs,4,Personbil,1000,19845
210,339964178,2003,189000,Manuell,Bensin,Forhjulsdrift,110,995,4,KombiFemdørs,4,Personbil,1000,18375
