,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
8096,340912671,2019,71 556 km,Manuell,Bensin,4 672 kr (avgifter),Les mer,12.02.2019,Oransje,Forhjulsdrift,82 Hk,"1,2 l",980 kg,109 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,BT91610,VF7SXHMZ6JT642344,450 kg
8097,340392559,2019,118 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,22.05.2019,Hvit,Forhjulsdrift,110 Hk,"1,5 l",1 300 kg,115 g/km,3,Kasse,6,6,Norge,Bruktbil til salgs,Varebil,DR66437,WDF4156031U241344,1 050 kg
8099,334917419,2019,27 000 km,Manuell,Diesel,591 kr (avgifter),Les mer,18.09.2019,Svart,Forhjulsdrift,90 Hk,"1,5 l",1 375 kg,123 g/km,3,Stasjonsvogn,6,1,Norge,Bruktbil til salgs,Varebil,ZH57164,VF1FW51R163014073,1 050 kg
8101,340951808,2019,104 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,11.03.2019,Hvit,Forhjulsdrift,102 Hk,"1,5 l",1 320 kg,111 g/km,3,Stasjonsvogn,6,3,Norge,Bruktbil til salgs,Varebil,KJ41395,VR7EFYHYCJJ857260,1 350 kg
8104,339792808,2019,72 067 km,Manuell,Bensin,4 672 kr (avgifter),Les mer,12.02.2019,Rød,Forhjulsdrift,83 Hk,"1,2 l",980 kg,109 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,BT92977,VF7SXHMRPJT709970,450 kg
8108,334906361,2019,75 500 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,23.07.2019,Grå,Forhjulsdrift,99 Hk,"1,6 l",1 396 kg,110 g/km,3,Kasse,4,5,Norge,Bruktbil til salgs,Varebil,BT98231,VF37FBHY6JJ546028,1 200 kg
8112,340969357,2019,52 624 km,Manuell,Diesel,Fritatt (avgifter),Les mer,28.02.2019,Hvit,Forhjulsdrift,75 Hk,"1,5 l",1 259 kg,112 g/km,2,Kasse,4,2,Norge,Bruktbil til salgs,Varebil,YU47942,WF0WXXTACWKC42030,500 kg
8114,339795992,2019,111 000 km,Automat,Bensin,Ikke oppgitt (avgifter),Les mer,22.05.2019,Sølv,Forhjulsdrift,110 Hk,1 l,1 180 kg,136 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,DR66984,TMBJR6NJ9KZ114124,1 100 kg
8115,338362551,2019,112 700 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,18.03.2019,Sølv,Forhjulsdrift,100 Hk,1 l,1 080 kg,114 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,CV92231,KNADC511AK6275516,1 000 kg
8125,340588660,2019,119 042 km,Automat,Diesel,1 476 kr (avgifter),Les mer,31.05.2019,Rød,Forhjulsdrift,131 Hk,"1,5 l",1 430 kg,114 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,YU48224,VR3EFYHZRKJ606061,1 000 kg
8129,339993262,2019,143 516 km,Automat,Diesel,1 476 kr (avgifter),Les mer,20.05.2019,Rød,Forhjulsdrift,131 Hk,"1,5 l",1 430 kg,114 g/km,3,Kasse,6,3,Norge,Bruktbil til salgs,Varebil,SD92183,VR3EFYHZRKJ606058,1 000 kg
8147,323563877,2019,55 650 km,Manuell,Diesel,1 422 kr (avgifter),Les mer,28.02.2019,Hvit,Forhjulsdrift,75 Hk,"1,5 l",1 259 kg,112 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,YU47940,WF0WXXTACWKC41216,590 kg
8150,341147084,2019,224 937 km,Automat,Diesel,1 476 kr (avgifter),Les mer,07.05.2019,Svart,Forhjulsdrift,120 Hk,"1,5 l",1 628 kg,135 g/km,3,Kasse,4,6,Norge,Bruktbil til salgs,Varebil,VJ13815,WF0SXXWPGSKK36460,1 381 kg
8151,334915880,2019,90 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,29.08.2019,Svart,Forhjulsdrift,90 Hk,"1,5 l",1 426 kg,112 g/km,3,Kasse,6,7,Norge,Bruktbil til salgs,Varebil,LS92653,WDF4156031U272272,1 050 kg
8155,320910251,2019,88 500 km,Manuell,Diesel,1 422 kr (avgifter),Les mer,12.11.2018,Rød,Forhjulsdrift,75 Hk,2 l,1 290 kg,124 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,KJ40085,WV1ZZZ2KZKX035567,1 400 kg
8158,339796681,2019,172 600 km,Automat,Diesel,1 476 kr (avgifter),Les mer,27.05.2019,Svart,Forhjulsdrift,120 Hk,"1,5 l",1 621 kg,135 g/km,2,Kasse,4,6,Norge,Bruktbil til salgs,Varebil,FT63925,WF0SXXWPGSKK36452,1 395 kg
8163,342241545,2019,238 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,08.10.2019,Hvit,Forhjulsdrift,116 Hk,"1,6 l",1 546 kg,137 g/km,3,Kasse,6,5,Norge,Bruktbil til salgs,Varebil,DR72752,YARVBBHXHGZ147216,1 800 kg
8176,340786414,2019,156 000 km,Automat,Diesel,Fritatt (avgifter),Les mer,19.12.2019,Rød,Forhjulsdrift,131 Hk,"1,5 l",1 430 kg,114 g/km,3,Kasse,6,6,Norge,Bruktbil til salgs,Varebil,UX71135,VR3EFYHZRKJ671724,1 000 kg
8188,336833701,2019,92 800 km,Manuell,El + Bensin,3 074 kr (avgifter),Les mer,05.02.2019,Blå,Firehjulsdrift,92 Hk,"1,2 l",960 kg,101 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,NF92925,JSAAZD53S00251323,1 000 kg
8190,336551711,2019,43 100 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,07.03.2019,Grå,Forhjulsdrift,105 Hk,"1,6 l",1 430 kg,121 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,XV69426,ZFA26300006K37053,1 300 kg
8204,320914588,2019,69 200 km,Manuell,Diesel,1 422 kr (avgifter),Les mer,12.11.2018,Rød,Forhjulsdrift,75 Hk,2 l,1 290 kg,124 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,KJ40084,WV1ZZZ2KZKX035582,1 400 kg
8212,342206974,2019,95 500 km,Automat,Elektrisitet,4 305 kr (avgifter),Les mer,29.11.2018,Svart,Forhjulsdrift,148 Hk,0 l,1 505 kg,0 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,EV32530,SJNFAAZE1U0041700,0 kg
8214,342184001,2019,97 750 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,16.10.2018,Gul,Forhjulsdrift,102 Hk,2 l,1 392 kg,127 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,HB83799,WV1ZZZ2KZKX014347,1 500 kg
8220,341414157,2019,175 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,26.06.2019,Sølv,Firehjulsdrift,122 Hk,2 l,1 561 kg,152 g/km,2,Kasse,6,3,Norge,Bruktbil til salgs,Varebil,FT64446,WV1ZZZ2KZKX122922,1 500 kg
8231,340591209,2019,67 000 km,Manuell,Bensin,1 476 kr (avgifter),Les mer,02.04.2019,Hvit,Forhjulsdrift,125 Hk,"1,4 l",1 435 kg,136 g/km,2,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,KJ42379,WV1ZZZ2KZKX092460,1 400 kg
8233,340393798,2019,131 000 km,Automat,Diesel,1 476 kr (avgifter),Les mer,14.12.2018,Svart,Forhjulsdrift,120 Hk,"1,5 l",1 621 kg,135 g/km,2,Kasse,5,7,Norge,Bruktbil til salgs,Varebil,VJ11469,WF0SXXWPGSJR85511,1 395 kg
8234,340338774,2019,108 000 km,Automat,Bensin,1 476 kr (avgifter),Les mer,23.08.2018,Hvit,Forhjulsdrift,125 Hk,"1,4 l",1 348 kg,134 g/km,2,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,AS57931,WV1ZZZ2KZKX003338,1 500 kg
8264,319827323,2019,210 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,03.01.2019,Svart,Forhjulsdrift,145 Hk,"1,6 l",1 760 kg,164 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,PD64474,VNVF4000862053471,2 000 kg
8267,334667397,2019,98 800 km,Manuell,Diesel,Fritatt (avgifter),Les mer,26.11.2018,Grå,Forhjulsdrift,125 Hk,"1,6 l",1 760 kg,159 g/km,3,Kasse,6,5,Norge,Bruktbil til salgs,Varebil,DR41732,W0VF7D604KV601606,2 000 kg
8268,334666181,2019,98 800 km,Manuell,Diesel,Fritatt (avgifter),Les mer,26.11.2018,Grå,Forhjulsdrift,125 Hk,"1,6 l",1 760 kg,159 g/km,3,Kasse,6,5,Norge,Bruktbil til salgs,Varebil,DR41732,W0VF7D604KV601606,2 000 kg
8294,324693293,2019,83 142 km,Manuell,Diesel,1 443 kr (avgifter),Les mer,18.12.2018,Hvit,Forhjulsdrift,101 Hk,"1,5 l",1 622 kg,123 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,KT97735,WF0SXXWPGSJR81754,1 122 kg
8305,341210677,2019,91 000 km,Automat,Bensin,3 074 kr (avgifter),Les mer,22.05.2019,Svart,Forhjulsdrift,110 Hk,1 l,1 090 kg,106 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,DR66989,TMBER6NJ6KZ131187,1 100 kg
8321,339984348,2019,97 500 km,Automat,Elektrisitet,4 305 kr (avgifter),Les mer,13.11.2018,Blå,Forhjulsdrift,0 Hk,0 l,1 540 kg,0 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,EV33174,WVWZZZAUZK8903994,0 kg
8328,339266921,2019,79 280 km,Automat,Diesel,1 476 kr (avgifter),Les mer,31.07.2019,Rød,Forhjulsdrift,131 Hk,"1,5 l",1 430 kg,114 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,LJ76328,VR3EFYHZRKJ653459,1 000 kg
8340,337440954,2019,151 700 km,Automat,Diesel,1 476 kr (avgifter),Les mer,17.12.2019,Hvit,Forhjulsdrift,130 Hk,"1,5 l",1 397 kg,114 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,FT65362,VR3EFYHZRKJ737063,1 350 kg
8361,309582948,2019,54 304 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,22.08.2018,Grå,Forhjulsdrift,102 Hk,2 l,1 304 kg,124 g/km,2,Kasse,4,2,Norge,Bruktbil til salgs,Varebil,BE21008,WV1ZZZ2KZJX162407,1 500 kg
8377,324368248,2019,118 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,17.07.2019,Sølv,Firehjulsdrift,122 Hk,2 l,1 511 kg,149 g/km,2,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,JV30742,WV1ZZZ2KZKX121369,1 500 kg
8382,334895800,2019,83 300 km,Automat,Bensin,3 074 kr (avgifter),Les mer,23.05.2019,Hvit,Forhjulsdrift,110 Hk,1 l,1 152 kg,134 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,DR67320,TMBER6NJ9KZ110334,1 100 kg
8390,340391897,2019,105 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,10.04.2019,Grå,Forhjulsdrift,131 Hk,"1,5 l",1 389 kg,116 g/km,3,Kasse,6,4,Norge,Bruktbil til salgs,Varebil,AS59980,VR3EFYHZJJJ847127,1 200 kg
8392,322810650,2019,104 600 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,10.04.2019,Grå,Forhjulsdrift,131 Hk,"1,5 l",1 389 kg,116 g/km,3,Kasse,6,4,Norge,Bruktbil til salgs,Varebil,AS59980,VR3EFYHZJJJ847127,1 200 kg
8413,341599802,2019,49 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,05.02.2019,Hvit,Forhjulsdrift,102 Hk,2 l,1 304 kg,127 g/km,2,Kasse,4,2,Norge,Bruktbil til salgs,Varebil,DR60699,WV1ZZZ2KZKX054600,1 500 kg
8440,340021385,2019,46 956 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,11.04.2019,Hvit,Forhjulsdrift,102 Hk,"1,5 l",1 320 kg,111 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,RL40225,VR3EFYHYCJJ886850,1 350 kg
8461,337300795,2019,101 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,04.01.2019,Grå,Forhjulsdrift,145 Hk,"1,6 l",1 797 kg,164 g/km,3,Kasse,4,1,Norge,Bruktbil til salgs,Varebil,SV95132,ZFAFFL006J5083519,2 000 kg
8462,337180262,2019,87 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,19.03.2019,Hvit,Forhjulsdrift,100 Hk,"1,5 l",1 320 kg,107 g/km,3,Kasse,5,1,Norge,Bruktbil til salgs,Varebil,US11276,VR3EFYHYCKJ557282,1 350 kg
8463,336925420,2019,127 000 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,14.11.2019,Rød,Firehjulsdrift,131 Hk,"1,5 l",1 540 kg,144 g/km,3,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,UN39038,VR3EFYHZJKJ610078,1 200 kg
