,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2522,339711119,1987,185 000 km,Manuell,Bensin,Fritatt (avgifter),10.06.1987,Forhjulsdrift,80 Hk,2 130 kg,6,Annet,3,Bruktbil til salgs,Annet,1 400 kg
2524,339703817,2010,201 000 km,Automat,Bensin,1 845 kr (avgifter),10.02.2010,Forhjulsdrift,114 Hk,1 435 kg,5,Annet,4,Bruktbil til salgs,Personbil,1 200 kg
2525,339704589,2009,243 000 km,Manuell,Diesel,1 845 kr (avgifter),22.01.2009,Forhjulsdrift,109 Hk,1 250 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
2526,339699867,2011,153 399 km,Manuell,Diesel,1 845 kr (avgifter),25.03.2011,Forhjulsdrift,90 Hk,1 085 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 050 kg
2527,339699168,2012,196 700 km,Manuell,Diesel,1 845 kr (avgifter),29.02.2012,Forhjulsdrift,129 Hk,1 657 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2532,339618080,2007,235 000 km,Automat,Diesel,1 887 kr (avgifter),21.11.2007,Bakhjulsdrift,140 Hk,1 607 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2533,339607969,2011,186 000 km,Manuell,Diesel,1 850 kr (avgifter),30.03.2011,Forhjulsdrift,116 Hk,1 448 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
2534,339578979,2011,229 000 km,Manuell,Bensin,1 845 kr (avgifter),07.01.2011,Forhjulsdrift,86 Hk,1 154 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 100 kg
2535,323548711,2008,315 000 km,Manuell,Diesel,1 777 kr (avgifter),25.05.2010,Bakhjulsdrift,143 Hk,1 505 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2536,339553488,2008,139 911 km,Automat,Bensin,1 845 kr (avgifter),02.07.2007,Forhjulsdrift,102 Hk,1 255 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 200 kg
2537,328993940,2011,114 804 km,Manuell,Diesel,1 777 kr (avgifter),16.12.2010,Forhjulsdrift,111 Hk,1 488 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 250 kg
2539,339466648,2008,334 754 km,Manuell,Diesel,Fritatt (avgifter),03.01.2008,Firehjulsdrift,150 Hk,1 625 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
2541,339480661,2014,214 400 km,Automat,Diesel,Ikke oppgitt (avgifter),31.10.2013,Forhjulsdrift,114 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 550 kg
2545,339450983,2007,352 978 km,Automat,Diesel,1 845 kr (avgifter),28.11.2008,Bakhjulsdrift,177 Hk,1 695 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2546,339437185,2012,167 026 km,Manuell,Diesel,1 845 kr (avgifter),29.12.2011,Forhjulsdrift,75 Hk,1 128 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
