,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
7432,342204672,2020,59 715 km,Automat,Diesel,4 305 kr (avgifter),15.01.2020,Firehjulsdrift,194 Hk,1 865 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 500 kg
7433,342204562,2020,110 000 km,Automat,Bensin,3 074 kr (avgifter),29.01.2020,Forhjulsdrift,116 Hk,1 277 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 100 kg
7434,342203554,2020,87 900 km,Automat,El + Bensin,4 305 kr (avgifter),31.01.2020,Forhjulsdrift,261 Hk,1 737 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7436,342203232,2020,54 300 km,Automat,Elektrisitet,4 305 kr (avgifter),27.04.2020,Firehjulsdrift,360 Hk,2 480 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7438,342201144,2020,34 200 km,Automat,El + Bensin,4 305 kr (avgifter),06.02.2020,Forhjulsdrift,170 Hk,1 290 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,750 kg
7446,342198636,2020,61 853 km,Automat,Diesel,1 476 kr (avgifter),26.06.2020,Forhjulsdrift,150 Hk,1 455 kg,2,Kasse,2,Bruktbil til salgs,Varebil,1 500 kg
7447,342198503,2020,132 000 km,Automat,Diesel,4 305 kr (avgifter),06.03.2020,Firehjulsdrift,190 Hk,1 747 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 200 kg
7448,342198576,2020,33 206 km,Automat,El + Bensin,4 305 kr (avgifter),29.12.2020,Firehjulsdrift,222 Hk,1 655 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 650 kg
7450,342197458,2020,119 700 km,Automat,Diesel,1 476 kr (avgifter),30.11.2020,Bakhjulsdrift,156 Hk,2 540 kg,3,Kasse,2,Bruktbil til salgs,Varebil,3 500 kg
7453,342196850,2020,20 800 km,Automat,Elektrisitet,1 476 kr (avgifter),29.12.2020,Forhjulsdrift,110 Hk,1 558 kg,2,Kasse,4,Bruktbil til salgs,Varebil,410 kg
7454,342196650,2020,33 096 km,Automat,Elektrisitet,1 476 kr (avgifter),29.12.2020,Forhjulsdrift,110 Hk,1 558 kg,2,Kasse,4,Bruktbil til salgs,Varebil,410 kg
7456,342196719,2020,25 451 km,Automat,Elektrisitet,1 476 kr (avgifter),29.12.2020,Forhjulsdrift,110 Hk,1 558 kg,2,Kasse,4,Bruktbil til salgs,Varebil,410 kg
7457,342196004,2020,57 684 km,Automat,Diesel,4 305 kr (avgifter),16.01.2020,Firehjulsdrift,150 Hk,1 665 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,2 000 kg
7459,342195708,2020,55 000 km,Automat,Bensin,4 305 kr (avgifter),26.02.2020,Forhjulsdrift,125 Hk,1 431 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
7460,342195745,2020,36 637 km,Automat,El + Bensin,4 305 kr (avgifter),28.12.2020,Forhjulsdrift,122 Hk,1 290 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,750 kg
7461,342195728,2020,52 000 km,Manuell,El + Bensin,4 305 kr (avgifter),04.02.2020,Forhjulsdrift,155 Hk,1 280 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 100 kg
7462,342195824,2020,79 000 km,Automat,Elektrisitet,4 305 kr (avgifter),13.06.2019,Firehjulsdrift,400 Hk,2 208 kg,5,Sedan,5,Bruktbil til salgs,Personbil,750 kg
7464,342195176,2020,48 650 km,Automat,Bensin,4 305 kr (avgifter),12.06.2020,Forhjulsdrift,160 Hk,1 500 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7465,342194979,2020,54 000 km,Automat,Elektrisitet,4 305 kr (avgifter),22.10.2020,Forhjulsdrift,136 Hk,1 548 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,2 000 kg
7466,342194981,2020,87 414 km,Automat,Elektrisitet,4 305 kr (avgifter),05.08.2020,Firehjulsdrift,360 Hk,2 480 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7468,342194347,2020,113 293 km,Automat,Diesel,1 476 kr (avgifter),10.01.2020,Firehjulsdrift,190 Hk,2 173 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 500 kg
7470,342193850,2020,141 500 km,Automat,Diesel,4 305 kr (avgifter),02.01.2020,Firehjulsdrift,190 Hk,1 735 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 100 kg
7471,342192105,2020,65 452 km,Automat,Diesel,4 305 kr (avgifter),19.06.2020,Firehjulsdrift,184 Hk,1 560 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
7473,342191105,2020,105 000 km,Automat,El + Bensin,4 305 kr (avgifter),03.01.2020,Firehjulsdrift,394 Hk,2 510 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 700 kg
7474,342190455,2020,65 000 km,Automat,Diesel,1 476 kr (avgifter),08.01.2020,Firehjulsdrift,199 Hk,2 095 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 500 kg
7476,342189567,2020,39 500 km,Automat,El + Bensin,4 305 kr (avgifter),22.12.2020,Firehjulsdrift,184 Hk,1 600 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,750 kg
7477,342189736,2020,193 500 km,Manuell,Diesel,1 476 kr (avgifter),17.01.2020,Forhjulsdrift,76 Hk,1 417 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 100 kg
7478,342189384,2020,53 710 km,Automat,El + Bensin,4 305 kr (avgifter),15.01.2020,Firehjulsdrift,222 Hk,1 655 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 650 kg
7479,342188868,2020,55 479 km,Automat,El + Bensin,4 305 kr (avgifter),10.12.2019,Firehjulsdrift,390 Hk,2 091 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 100 kg
7480,342188744,2020,39 802 km,Automat,El + Bensin,4 305 kr (avgifter),26.05.2020,Firehjulsdrift,222 Hk,1 725 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 650 kg
7481,342183755,2020,61 500 km,Automat,Elektrisitet,2 336 kr (avgifter),29.06.2020,Forhjulsdrift,110 Hk,1 624 kg,2,Kasse,6,Bruktbil til salgs,Varebil,410 kg
7482,342187132,2020,96 000 km,Automat,Elektrisitet,7 129 kr (avgifter),29.03.2021,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7484,342186997,2020,57 207 km,Automat,El + Bensin,4 305 kr (avgifter),20.02.2020,Firehjulsdrift,390 Hk,2 161 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 100 kg
7490,342178610,2020,94 930 km,Automat,Bensin,1 476 kr (avgifter),31.01.2020,Forhjulsdrift,130 Hk,1 278 kg,2,Kasse,2,Bruktbil til salgs,Varebil,1 500 kg
7491,342178403,2020,22 917 km,Automat,Bensin,4 305 kr (avgifter),12.08.2020,Forhjulsdrift,130 Hk,1 585 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,950 kg
7492,342178297,2020,74 000 km,Automat,El + Bensin,4 305 kr (avgifter),13.08.2019,Firehjulsdrift,311 Hk,1 890 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7493,342178144,2020,85 500 km,Manuell,Diesel,1 476 kr (avgifter),18.02.2020,Firehjulsdrift,122 Hk,1 727 kg,3,Annet,4,Bruktbil til salgs,Varebil,2 500 kg
7494,342177685,2020,105 000 km,Automat,Diesel,1 476 kr (avgifter),07.11.2019,Firehjulsdrift,306 Hk,2 390 kg,2,SUV/Offroad,5,Bruktbil til salgs,Varebil,3 500 kg
7495,342176908,2020,61 400 km,Automat,Bensin,4 305 kr (avgifter),09.01.2020,Forhjulsdrift,150 Hk,1 321 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
7497,342176301,2020,48 000 km,Manuell,Bensin,4 305 kr (avgifter),13.05.2020,Forhjulsdrift,125 Hk,1 383 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 000 kg
7498,342176070,2020,64 757 km,Automat,El + Diesel,4 305 kr (avgifter),25.09.2019,Firehjulsdrift,136 Hk,1 625 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 600 kg
7502,342170476,2020,59 000 km,Automat,Bensin,1 476 kr (avgifter),11.03.2020,Firehjulsdrift,396 Hk,2 560 kg,2,Pickup,5,Bruktbil til salgs,Varebil,3 500 kg
7505,342169603,2020,61 463 km,Automat,El + Bensin,4 305 kr (avgifter),01.10.2020,Forhjulsdrift,122 Hk,1 420 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,725 kg
7508,342168369,2020,48 978 km,Automat,El + Bensin,4 305 kr (avgifter),30.01.2020,Forhjulsdrift,141 Hk,1 495 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,750 kg
7510,342166909,2020,34 177 km,Automat,El + Bensin,4 305 kr (avgifter),18.11.2020,Firehjulsdrift,306 Hk,1 895 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7512,342166624,2020,20 000 km,Automat,Elektrisitet,1 476 kr (avgifter),11.11.2020,Forhjulsdrift,136 Hk,2 025 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 000 kg
7513,339645972,2020,82 000 km,Automat,Elektrisitet,4 305 kr (avgifter),27.05.2020,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7514,342165488,2020,15 600 km,Automat,Elektrisitet,4 305 kr (avgifter),30.06.2020,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7517,342159830,2020,44 200 km,Automat,Diesel,2 336 kr (avgifter),24.07.2020,Forhjulsdrift,156 Hk,2 239 kg,3,Annet,6,Bruktbil til salgs,Varebil,3 500 kg
7518,342163340,2020,47 000 km,Automat,El + Bensin,7 129 kr (avgifter),02.03.2021,Firehjulsdrift,240 Hk,1 860 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 250 kg
7519,342163251,2020,86 000 km,Automat,Diesel,1 476 kr (avgifter),26.03.2020,Bakhjulsdrift,163 Hk,2 819 kg,2,Kasse,4,Bruktbil til salgs,Varebil,2 000 kg
7520,342163167,2020,32 100 km,Manuell,Diesel,1 476 kr (avgifter),21.10.2020,Forhjulsdrift,150 Hk,1 642 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 500 kg
7521,342162919,2020,42 823 km,Automat,Diesel,1 476 kr (avgifter),27.03.2020,Forhjulsdrift,122 Hk,1 770 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 200 kg
7522,342162609,2020,52 163 km,Automat,Diesel,1 476 kr (avgifter),24.02.2020,Firehjulsdrift,150 Hk,2 035 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 500 kg
7524,342161846,2020,14 900 km,Automat,El + Bensin,4 305 kr (avgifter),24.11.2020,Firehjulsdrift,306 Hk,1 930 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7525,342161728,2020,78 480 km,Automat,El + Bensin,4 305 kr (avgifter),02.04.2020,Firehjulsdrift,306 Hk,1 895 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 650 kg
7526,342161473,2020,21 515 km,Automat,El + Bensin,4 305 kr (avgifter),16.09.2020,Forhjulsdrift,122 Hk,1 420 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,725 kg
7528,342160836,2020,40 000 km,Automat,El + Bensin,4 305 kr (avgifter),06.08.2020,Forhjulsdrift,225 Hk,1 844 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
7529,342156664,2020,37 000 km,Automat,Elektrisitet,1 476 kr (avgifter),12.11.2019,Forhjulsdrift,110 Hk,1 633 kg,2,Kasse,6,Bruktbil til salgs,Varebil,410 kg
7533,342158916,2020,55 673 km,Automat,El + Bensin,4 305 kr (avgifter),29.07.2020,Forhjulsdrift,262 Hk,1 780 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
7534,342158699,2020,37 306 km,Automat,Diesel,1 476 kr (avgifter),16.01.2020,Forhjulsdrift,177 Hk,1 682 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 500 kg
7536,342158253,2020,56 437 km,Automat,El + Bensin,7 129 kr (avgifter),02.03.2021,Firehjulsdrift,306 Hk,1 895 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7538,342156204,2020,85 000 km,Automat,Elektrisitet,4 305 kr (avgifter),10.08.2020,Firehjulsdrift,408 Hk,2 470 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7541,342155224,2020,65 800 km,Automat,Diesel,4 305 kr (avgifter),04.08.2020,Firehjulsdrift,190 Hk,1 805 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
7543,342154033,2020,54 800 km,Automat,El + Bensin,4 305 kr (avgifter),12.02.2020,Forhjulsdrift,122 Hk,1 420 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,725 kg
7544,342153867,2020,78 900 km,Manuell,Bensin,4 305 kr (avgifter),22.10.2020,Forhjulsdrift,120 Hk,1 259 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
7545,342153478,2020,45 200 km,Automat,Bensin,3 074 kr (avgifter),27.12.2019,Forhjulsdrift,115 Hk,1 137 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 100 kg
7550,342150570,2020,20 999 km,Automat,Diesel,1 476 kr (avgifter),21.08.2020,Firehjulsdrift,150 Hk,1 455 kg,2,Kasse,2,Bruktbil til salgs,Varebil,1 500 kg
7551,342150269,2020,55 100 km,Automat,El + Bensin,7 129 kr (avgifter),11.03.2021,Firehjulsdrift,224 Hk,1 890 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7553,342149743,2020,100 500 km,Automat,Elektrisitet,4 305 kr (avgifter),18.12.2019,Firehjulsdrift,360 Hk,2 490 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7557,342147064,2020,36 854 km,Automat,El + Bensin,4 305 kr (avgifter),04.12.2020,Firehjulsdrift,306 Hk,1 895 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7561,342131843,2020,142 377 km,Automat,Diesel,4 305 kr (avgifter),02.07.2020,Firehjulsdrift,184 Hk,1 569 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
7562,342130696,2020,51 597 km,Automat,Diesel,7 129 kr (avgifter),09.03.2021,Forhjulsdrift,131 Hk,1 380 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 300 kg
7565,342125705,2020,28 000 km,Automat,El + Bensin,4 305 kr (avgifter),06.03.2020,Firehjulsdrift,167 Hk,1 660 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7566,342118353,2020,116 000 km,Manuell,Diesel,1 476 kr (avgifter),23.07.2020,Forhjulsdrift,102 Hk,1 458 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 500 kg
7569,342108961,2020,29 584 km,Manuell,Bensin,4 305 kr (avgifter),26.10.2020,Forhjulsdrift,155 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 100 kg
7571,342108255,2020,50 206 km,Automat,El + Bensin,4 305 kr (avgifter),03.08.2020,Forhjulsdrift,225 Hk,1 817 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
7573,342107315,2020,23 625 km,Automat,Bensin,3 074 kr (avgifter),21.11.2019,Forhjulsdrift,100 Hk,1 169 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
7574,342106676,2020,29 477 km,Automat,Elektrisitet,1 476 kr (avgifter),04.09.2020,Forhjulsdrift,122 Hk,1 555 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 090 kg
7576,342105493,2020,86 200 km,Automat,Elektrisitet,4 305 kr (avgifter),31.10.2019,Firehjulsdrift,360 Hk,2 490 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7577,342102423,2020,83 927 km,Automat,Diesel,1 476 kr (avgifter),03.09.2020,Firehjulsdrift,150 Hk,1 661 kg,2,Kasse,2,Bruktbil til salgs,Varebil,1 450 kg
7581,342100277,2020,99 565 km,Automat,Diesel,4 305 kr (avgifter),11.03.2020,Firehjulsdrift,184 Hk,1 573 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,2 000 kg
7584,342094617,2020,74 000 km,Automat,Elektrisitet,4 305 kr (avgifter),14.10.2020,Forhjulsdrift,204 Hk,1 812 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,0 kg
7585,342094019,2020,50 093 km,Automat,Elektrisitet,4 305 kr (avgifter),05.02.2020,Firehjulsdrift,390 Hk,2 430 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7586,342090252,2020,112 000 km,Manuell,Diesel,1 476 kr (avgifter),14.10.2019,Forhjulsdrift,102 Hk,1 320 kg,3,Kasse,6,Bruktbil til salgs,Varebil,1 350 kg
7588,342091219,2020,78 000 km,Automat,El + Bensin,4 305 kr (avgifter),30.01.2020,Firehjulsdrift,398 Hk,2 435 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 700 kg
7591,342087888,2020,103 761 km,Automat,El + Bensin,4 305 kr (avgifter),20.01.2020,Firehjulsdrift,390 Hk,1 986 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
7592,342086621,2020,38 728 km,Automat,Elektrisitet,4 305 kr (avgifter),16.12.2020,Firehjulsdrift,313 Hk,2 370 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7593,342085852,2020,69 700 km,Manuell,Bensin,Ikke oppgitt (avgifter),09.06.2020,Forhjulsdrift,95 Hk,1 120 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
7596,342085123,2020,38 900 km,Automat,El + Bensin,4 305 kr (avgifter),22.10.2019,Firehjulsdrift,390 Hk,2 161 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 100 kg
7597,342084096,2020,71 000 km,Automat,Elektrisitet,4 305 kr (avgifter),03.09.2020,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7600,342083231,2020,85 028 km,Automat,El + Diesel,4 305 kr (avgifter),19.12.2019,Firehjulsdrift,136 Hk,1 625 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 600 kg
7601,342083041,2020,52 300 km,Manuell,Diesel,1 476 kr (avgifter),10.09.2020,Forhjulsdrift,100 Hk,1 367 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 350 kg
7603,342080973,2020,38 400 km,Automat,El + Bensin,4 305 kr (avgifter),17.12.2020,Firehjulsdrift,197 Hk,1 835 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
7604,342080511,2020,49 500 km,Automat,Diesel,2 336 kr (avgifter),17.02.2021,Firehjulsdrift,306 Hk,2 360 kg,2,SUV/Offroad,5,Bruktbil til salgs,Varebil,3 500 kg
7606,342077701,2020,74 853 km,Manuell,Bensin,3 074 kr (avgifter),31.08.2020,Forhjulsdrift,95 Hk,1 080 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
7608,342077230,2020,108 800 km,Automat,Diesel,4 305 kr (avgifter),21.11.2019,Forhjulsdrift,131 Hk,1 430 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
7609,342076871,2020,84 735 km,Automat,El + Bensin,4 305 kr (avgifter),25.08.2020,Forhjulsdrift,225 Hk,1 844 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
7610,342076707,2020,17 526 km,Automat,Bensin,7 129 kr (avgifter),21.04.2021,Forhjulsdrift,125 Hk,1 296 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
7612,342074899,2020,61 016 km,Automat,Diesel,1 476 kr (avgifter),16.01.2020,Firehjulsdrift,150 Hk,1 591 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 500 kg
7616,342072510,2020,82 400 km,Automat,El + Bensin,4 305 kr (avgifter),14.07.2020,Forhjulsdrift,180 Hk,1 491 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 300 kg
7617,342072072,2020,31 000 km,Automat,Bensin,3 074 kr (avgifter),30.01.2020,Forhjulsdrift,101 Hk,1 164 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
7621,342069936,2020,68 000 km,Automat,Elektrisitet,4 305 kr (avgifter),20.03.2020,Firehjulsdrift,408 Hk,2 565 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 800 kg
7625,342068461,2020,67 955 km,Automat,Diesel,4 305 kr (avgifter),19.06.2020,Firehjulsdrift,184 Hk,1 573 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,2 000 kg
7626,342068372,2020,31 400 km,Automat,El + Bensin,4 305 kr (avgifter),17.11.2020,Firehjulsdrift,197 Hk,1 835 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 500 kg
7629,342066596,2020,48 700 km,Automat,El + Bensin,4 305 kr (avgifter),01.10.2020,Firehjulsdrift,197 Hk,1 835 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
7630,342066326,2020,37 595 km,Automat,Elektrisitet,4 305 kr (avgifter),29.10.2020,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7632,342065844,2020,35 700 km,Automat,El + Bensin,4 305 kr (avgifter),06.03.2020,Firehjulsdrift,197 Hk,1 835 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
7634,342065319,2020,43 082 km,Automat,El + Bensin,4 305 kr (avgifter),28.04.2020,Forhjulsdrift,180 Hk,1 370 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,750 kg
7636,342064744,2020,65 000 km,Automat,El + Bensin,4 305 kr (avgifter),06.12.2019,Forhjulsdrift,272 Hk,1 804 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
7637,342064424,2020,73 000 km,Automat,El + Bensin,4 305 kr (avgifter),17.02.2020,Firehjulsdrift,224 Hk,1 900 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
7639,342064120,2020,64 300 km,Automat,Elektrisitet,4 305 kr (avgifter),17.03.2020,Firehjulsdrift,313 Hk,2 445 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 800 kg
7642,342033524,2020,43 203 km,Automat,Elektrisitet,4 305 kr (avgifter),03.11.2020,Firehjulsdrift,360 Hk,2 572 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7643,342033510,2020,25 700 km,Manuell,Bensin,4 305 kr (avgifter),31.03.2020,Forhjulsdrift,125 Hk,1 383 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 000 kg
7644,342033014,2020,59 492 km,Automat,Diesel,4 305 kr (avgifter),19.02.2020,Firehjulsdrift,184 Hk,1 464 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,2 000 kg
7646,342031845,2020,40 644 km,Automat,El + Bensin,4 305 kr (avgifter),08.05.2020,Forhjulsdrift,218 Hk,1 680 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 600 kg
7647,342031483,2020,91 000 km,Automat,Elektrisitet,4 305 kr (avgifter),30.03.2020,Firehjulsdrift,390 Hk,2 466 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7648,342031129,2020,18 700 km,Automat,Elektrisitet,4 305 kr (avgifter),12.10.2020,Forhjulsdrift,204 Hk,1 685 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,300 kg
7649,342030875,2020,35 000 km,Automat,Diesel,1 476 kr (avgifter),27.02.2020,Firehjulsdrift,213 Hk,2 214 kg,2,Pickup,4,Bruktbil til salgs,Varebil,3 500 kg
7651,342029475,2020,48 393 km,Automat,El + Bensin,4 305 kr (avgifter),05.02.2020,Firehjulsdrift,222 Hk,1 655 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 650 kg
7652,342029517,2020,73 313 km,Automat,Bensin,4 305 kr (avgifter),07.04.2020,Forhjulsdrift,150 Hk,1 242 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
7653,342029084,2020,29 393 km,Automat,Elektrisitet,1 476 kr (avgifter),16.09.2020,Forhjulsdrift,110 Hk,1 539 kg,2,Kasse,4,Bruktbil til salgs,Varebil,410 kg
7657,342028116,2020,70 000 km,Automat,Elektrisitet,4 305 kr (avgifter),11.09.2020,Firehjulsdrift,407 Hk,2 480 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7658,342027983,2020,57 000 km,Automat,Elektrisitet,4 305 kr (avgifter),02.05.2019,Firehjulsdrift,400 Hk,2 133 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,750 kg
7659,342028015,2020,27 000 km,Automat,Elektrisitet,2 336 kr (avgifter),07.01.2021,Forhjulsdrift,122 Hk,1 640 kg,2,Annet,2,Bruktbil til salgs,Varebil,1 005 kg
7660,342027992,2020,71 876 km,Automat,Elektrisitet,4 305 kr (avgifter),22.01.2020,Firehjulsdrift,313 Hk,2 370 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7662,342027286,2020,69 700 km,Automat,Diesel,1 476 kr (avgifter),20.12.2019,Firehjulsdrift,306 Hk,2 370 kg,2,SUV/Offroad,5,Bruktbil til salgs,Varebil,3 500 kg
7663,342026464,2020,71 836 km,Automat,El + Bensin,4 305 kr (avgifter),16.10.2019,Firehjulsdrift,404 Hk,2 540 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 500 kg
7664,342026225,2020,58 380 km,Automat,Elektrisitet,4 305 kr (avgifter),20.03.2020,Firehjulsdrift,313 Hk,2 370 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 800 kg
7665,342025693,2020,99 492 km,Manuell,Diesel,2 336 kr (avgifter),18.11.2021,Forhjulsdrift,130 Hk,2 001 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 500 kg
7673,342023319,2020,75 000 km,Automat,El + Bensin,4 305 kr (avgifter),18.10.2019,Firehjulsdrift,394 Hk,2 510 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 700 kg
7674,342023224,2020,50 000 km,Automat,El + Bensin,4 305 kr (avgifter),21.12.2020,Firehjulsdrift,292 Hk,2 065 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 000 kg
7675,342022362,2020,38 650 km,Automat,Bensin,4 305 kr (avgifter),14.02.2020,Forhjulsdrift,165 Hk,1 430 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 405 kg
7678,342021170,2020,57 923 km,Automat,El + Bensin,4 305 kr (avgifter),28.02.2020,Firehjulsdrift,292 Hk,1 990 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
